SNO,Row Labels,Count of SKU7_CODE,Sum of NET_SALES_WEIGHT_IN_KGS,PARTY_HLL_CODE,Lat,lng,SERVICING PLG,"Det,D+F",FNB,HUL,PP,Bills
0,Branch,0,0,Branch,12.948201,77.532007,,0,0,0,0,0
1,GSV37678,9,19.175,HUL-431007D-PAR0011,12.91765817,77.54692096,DETS,1,0,0,0,1
2,GSV37679,9,49.9,HUL-431007D-PAR1233,12.91749004,77.55067901,DETS,1,0,0,0,1
3,GSV37680,28,159.1,HUL-431611D-P21774,12.91740059,77.54683619,DETS,1,0,0,0,1
4,GSV37681,12,50.39,HUL-431611D-P31119,12.91942833,77.54495,DETS,1,0,0,0,1
5,GSV37682,12,28.854,HUL-431611D-P32631,12.91731333,77.54645166,DETS,1,0,0,0,1
6,GSV37683,21,69.969,HUL-431611D-P32817,12.91718842,77.54673917,DETS,1,0,0,0,1
7,GSV37684,15,23.435,HUL-431611D-P32998,12.92219333,77.54490833,DETS,1,0,0,0,1
8,GSV37685,24,48.26,HUL-431611D-P33743,12.917738,77.5466847,DETS,1,0,0,0,1
9,GSV37686,15,45.64,HUL-431611D-P33818,12.9142422,77.5468391,DETS,1,0,0,0,1
10,GSV37687,10,219.3,KN56008553084,12.92119,77.54521833,DETS,1,0,0,0,1
11,GSV37688,10,43.36,HUL-431611D-P36556,12.91915954,77.54688749,DETS,1,0,0,0,1
12,GSV37689,9,6.47,HUL-431007D-P27032,12.91944488,77.54496095,DETS,1,0,0,0,1
13,GSV37690,5,7.08,HUL-431007D-P35256,12.92270147,77.54527971,DETS,1,0,0,0,1
14,GSV37691,37,381.55,HUL-431007D-PAR1397,12.9229887,77.5407226,DETS,1,0,0,0,1
15,GSV37692,30,29.717,HUL-431007D-PAR2516,12.92274049,77.54104882,DETS,1,0,0,0,1
16,GSV37693,45,82.099,HUL-431611D-P19087,12.92270797,77.54604541,DETS,1,0,0,0,1
17,GSV37694,11,159.06,HUL-431036D-P8769,12.92619166,77.54198166,DETS,1,0,0,0,1
18,GSV37695,27,30.982,HUL-431611D-P31270,12.92013125,77.53914808,DETS,1,0,0,0,1
19,GSV37696,8,4.215,HUL-431007D-P21125,12.92043166,77.54173,DETS,1,0,0,0,1
20,GSV37697,26,103.976,HUL-431611D-P17414,12.91962935,77.54113774,DETS,1,0,0,0,1
21,GSV37698,1,6,HUL-431611D-P36984,12.9227841,77.54030269,DETS,1,0,0,0,1
22,GSV37699,4,28.7,HUL-431007D-P21738,12.92497244,77.54197189,DETS,1,0,0,0,1
23,GSV37700,12,15.675,HUL-431007D-P24098,12.9221782,77.5419,DETS,1,0,0,0,1
24,GSV37701,2,6,HUL-431007D-P27035,12.92271185,77.54523812,DETS,1,0,0,0,1
