Trip No,Schedule,Latitude,Longitude,KM Travelled,Travel Time,Service Time
1,Bangvadi1,12.374471,76.893714,0.00,0.00,20
1,Bangvadi2,12.374471,76.893714,0.00,0.00,20
1,Hanumanalu5,12.370634,76.868542,3.79,8.88,20
1,Hanumanalu6,12.370634,76.868542,0.00,0.00,20
1,B Sheehalli2,12.386522,76.853358,3.52,7.63,20
1,B Sheehalli3,12.386522,76.853358,0.00,0.00,20
1,Mudhabeerana hundi2,12.374942,76.852739,1.64,4.13,20
1,Mudhabeerana hundi3,12.374942,76.852739,0.00,0.00,20
1,Maddigahalli2,12.357407,76.847055,3.19,7.98,20
1,Maddigahalli1,12.357407,76.847055,0.00,0.00,20
2,Thammadipura1,12.2734974,76.9105708,0.00,0.00,20
2,Vyasarajapura2,12.2573064,76.905242,2.64,6.33,20
2,Sri rangaraja pura3,12.264891,76.880744,3.95,6.35,20
2,Sri rangaraja pura2,12.264891,76.880744,0.00,0.00,20
2,Somanathpura3,12.2758033,76.8821849,0.67,2.58,20
2,Kullana kopplu1,12.2865011,76.8933537,2.24,6.22,20
2,Ketupura3,12.2993046,76.8901113,2.52,5.62,20
2,Ketupura2,12.2993046,76.8901113,0.00,0.00,20
3,Hegguru6,12.370545,76.928295,0.00,0.00,20
3,Hegguru5,12.370545,76.928295,0.00,0.00,20
3,Katte kopplu3,12.361132,76.929375,1.12,2.52,20
3,Katte kopplu2,12.361132,76.929375,0.00,0.00,20
3,CV kopplu,12.337534,76.924136,5.10,9.63,20
3,Vaddara kopplu3,12.333604,76.910339,2.26,6.42,20
3,Vaddara kopplu2,12.333604,76.910339,0.00,0.00,20
4,Koddaga halli1,12.376698,76.824523,0.00,0.00,20
4,Maddigahalli4,12.357407,76.847055,3.88,6.70,20
4,Maddigahalli3,12.357407,76.847055,0.00,0.00,20
4,Mudhabeerana hundi1,12.374942,76.852739,3.19,7.98,20
4,B Sheehalli1,12.386522,76.853358,1.64,4.12,20
4,Thuruganuru4,12.3858302,76.8965961,6.71,15.35,20
4,Thuruganuru3,12.3858302,76.8965961,0.00,0.00,20
4,Yacanahalli6,12.399259,76.8987576,1.88,4.13,20
4,Yacanahalli5,12.399259,76.8987576,0.00,0.00,20
5,Senapathihalli1,12.3089224,76.8645289,0.00,0.00,20
5,Athahalli4,12.321972,76.880744,2.95,7.50,20
5,Athahalli3,12.321972,76.880744,0.00,0.00,20
5,Kunthanahalli1,12.31725,76.887045,1.74,4.05,20
5,Megala kopplu1,12.31654,76.898758,1.58,3.67,20
5,Chamanahalli4,12.339457,76.880023,4.54,11.00,20
5,Chamanahalli3,12.339457,76.880023,0.00,0.00,20
5,Dassegowdna kopplu,12.361801,76.891851,3.31,5.50,20
5,Hanumanalu2,12.370634,76.868542,3.14,7.38,20
5,Hanumanalu1,12.370634,76.868542,0.00,0.00,20
6,Senapathihalli3,12.3089224,76.8645289,0.00,0.00,20
6,Senapathihalli2,12.3089224,76.8645289,0.00,0.00,20
